prob,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"(6602, 6609)","(33.5931277, 130.3500155)","(33.5931277, 130.3500155)"
-124.3059537144052,"(6602, 6609)","(33.5932992, 130.3511841)","(33.5932992, 130.3511841)"
-237.6540840877576,"(6602, 6609)","(33.5932992, 130.3511841)","(33.5932992, 130.3511841)"
-362.7852303931809,"(6602, 6609)","(33.5932992, 130.3511841)","(33.5932992, 130.3511841)"
-488.6316829814112,"(6602, 6609)","(33.5932992, 130.3511841)","(33.5932992, 130.3511841)"
