prob,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
-1742.3132926169471,"(68, 999)","(33.59531808429472, 130.35612017837747)","(33.59532907637125, 130.35627802828105)"
-1747.298285442221,"(68, 1002)","(33.59532907637125, 130.35627802828105)","(33.5953115, 130.3563872)"
-1752.512892071297,"(993, 1002)","(33.5953115, 130.3563872)","(33.595212073471, 130.35643321520618)"
-1756.7983934325082,"(993, 1002)","(33.595212073471, 130.35643321520618)","(33.59515368639233, 130.3563752059268)"
-1799.1765884127974,"(600, 993)","(33.59515368639233, 130.3563752059268)","(33.595118, 130.3563637)"
-1919.591932905847,"(600, 1001)","(33.595118, 130.3563637)","(33.59503113189673, 130.3564714918826)"
-2036.9719333736305,"(600, 1001)","(33.59503113189673, 130.3564714918826)","(33.59494190430541, 130.35650921898497)"
-2155.040468919628,"(600, 1001)","(33.59494190430541, 130.35650921898497)","(33.5948762, 130.356537)"
-2271.9502075711744,"(600, 1001)","(33.5948762, 130.356537)","(33.59479438244535, 130.35658624287655)"
-2392.0814535147133,"(1001, 8416)","(33.59479438244535, 130.35658624287655)","(33.59469354572583, 130.35669145331778)"
-2508.9813089600566,"(1001, 8416)","(33.59469354572583, 130.35669145331778)","(33.59458929176478, 130.3567504780084)"
-2625.5585265602967,"(1001, 8416)","(33.59458929176478, 130.3567504780084)","(33.59448461826804, 130.3568097402244)"
-2721.408199758865,"(1001, 8416)","(33.59448461826804, 130.3568097402244)","(33.59437660991784, 130.35687151684354)"
-2800.433510626495,"(1001, 8416)","(33.59437660991784, 130.35687151684354)","(33.59426284636971, 130.35694091175955)"
-2908.0283434488692,"(1001, 8416)","(33.59426284636971, 130.35694091175955)","(33.59412005583246, 130.3570102837526)"
-3024.8623449694983,"(1001, 8416)","(33.59412005583246, 130.3570102837526)","(33.59399199167887, 130.3570634544247)"
-3143.1757769634078,"(1001, 8416)","(33.59399199167887, 130.3570634544247)","(33.593911367961525, 130.35710423495382)"
-3259.719305660673,"(1001, 8416)","(33.593911367961525, 130.35710423495382)","(33.593838015236955, 130.35714791310787)"
-3378.327998692824,"(1001, 8416)","(33.593838015236955, 130.35714791310787)","(33.593729540931506, 130.35721250453855)"
-3494.9382028352197,"(1001, 8416)","(33.593729540931506, 130.35721250453855)","(33.59363329161012, 130.3572698165568)"
-3611.60946195389,"(1001, 8416)","(33.59363329161012, 130.3572698165568)","(33.59352789547474, 130.3573325750796)"
-3728.1810272356897,"(1001, 8416)","(33.59352789547474, 130.3573325750796)","(33.5934405067884, 130.35738461099956)"
-3781.3360658759625,"(4948, 8416)","(33.5934405067884, 130.35738461099956)","(33.5933129, 130.3573719)"
-3796.4677462995382,"(4948, 601)","(33.5933129, 130.3573719)","(33.59333145051346, 130.35736086535223)"
-3908.8576136623806,"(4948, 8416)","(33.59333145051346, 130.35736086535223)","(33.5933129, 130.3573719)"
-4034.362924238424,"(8416, 4949)","(33.5933129, 130.3573719)","(33.5932289, 130.3575224)"
-4141.034319413278,"(4949, 611)","(33.5932289, 130.3575224)","(33.5931331, 130.3575403)"
-4161.18991235298,"(611, 9583)","(33.5931331, 130.3575403)","(33.59297495452278, 130.35762356546056)"
-4178.603306952366,"(611, 9583)","(33.59297495452278, 130.35762356546056)","(33.59287494245172, 130.35768467995402)"
-4220.794824379248,"(611, 9583)","(33.59287494245172, 130.35768467995402)","(33.592758064756055, 130.35775610054446)"
-4256.325568692352,"(611, 9583)","(33.592758064756055, 130.35775610054446)","(33.59264746022493, 130.35782368778493)"
-4263.135757250802,"(611, 9583)","(33.59264746022493, 130.35782368778493)","(33.592558591287556, 130.35787799303063)"
-4275.25778840785,"(611, 9583)","(33.592558591287556, 130.35787799303063)","(33.59245224735288, 130.3579429767434)"
-4287.9800797432945,"(611, 9583)","(33.59245224735288, 130.3579429767434)","(33.59235652353035, 130.3580014708118)"
-4335.548331213073,"(9417, 9583)","(33.59235652353035, 130.3580014708118)","(33.59215054239019, 130.35806711525672)"
-4346.898610397859,"(9417, 9588)","(33.59215054239019, 130.35806711525672)","(33.59206449793425, 130.3580811547906)"
-4353.442651735924,"(9417, 9588)","(33.59206449793425, 130.3580811547906)","(33.59197494718054, 130.3581156815881)"
-4358.3375976374755,"(9417, 9588)","(33.59197494718054, 130.3581156815881)","(33.591870715194766, 130.35814042150753)"
-4382.971603127824,"(9417, 9588)","(33.591870715194766, 130.35814042150753)","(33.5917747715878, 130.35814738793678)"
-4388.535812441238,"(9417, 9588)","(33.5917747715878, 130.35814738793678)","(33.591645208101134, 130.35813916854116)"
-4391.983321113184,"(9417, 9588)","(33.591645208101134, 130.35813916854116)","(33.591536225717114, 130.3581160702334)"
-4398.772867670381,"(9417, 9588)","(33.591536225717114, 130.3581160702334)","(33.5914446472042, 130.35807782945577)"
-4406.848984686993,"(9417, 9588)","(33.5914446472042, 130.35807782945577)","(33.59134399381086, 130.3580200357634)"
-4418.434922995941,"(9417, 9588)","(33.59134399381086, 130.3580200357634)","(33.5912808, 130.3579726)"
-4421.923905862458,"(9417, 9588)","(33.5912808, 130.3579726)","(33.59119838433349, 130.35789335903192)"
