prob,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
-705.4640075219002,"(2164, 6541)","(33.59120749625475, 130.3520122978565)","(33.59112833531638, 130.35202656272173)"
-822.0723408502918,"(2164, 6541)","(33.59112833531638, 130.35202656272173)","(33.59104076769445, 130.35204234247817)"
-961.5942062156089,"(2164, 9434)","(33.59104076769445, 130.35204234247817)","(33.5907647, 130.3520525)"
-996.8147504199,"(9433, 9434)","(33.5907647, 130.3520525)","(33.590763847584974, 130.35195800793034)"
-1015.9080900128147,"(2164, 9434)","(33.590763847584974, 130.35195800793034)","(33.5907652, 130.352092)"
-1096.3188542324108,"(2164, 9436)","(33.5907652, 130.352092)","(33.5907675, 130.3521519)"
-1122.507563415706,"(8532, 9436)","(33.5907675, 130.3521519)","(33.59079672021128, 130.35237503528583)"
-1142.3837662767849,"(8532, 9436)","(33.59079672021128, 130.35237503528583)","(33.590818190225725, 130.35248722683585)"
-1150.0820810158632,"(8532, 9436)","(33.590818190225725, 130.35248722683585)","(33.59082658286388, 130.35256874077015)"
-1155.288019842786,"(8532, 9436)","(33.59082658286388, 130.35256874077015)","(33.59083595948054, 130.35268599869693)"
-1158.8650687264912,"(8532, 9436)","(33.59083595948054, 130.35268599869693)","(33.59084388077077, 130.35278719918057)"
-1162.4570380938578,"(8532, 9436)","(33.59084388077077, 130.35278719918057)","(33.59085786910905, 130.35289565829274)"
-1171.8453019017097,"(8532, 9436)","(33.59085786910905, 130.35289565829274)","(33.59087481076051, 130.35299729064906)"
-1200.001103811769,"(8532, 9436)","(33.59087481076051, 130.35299729064906)","(33.5908938388713, 130.3531011990374)"
-1221.9587178902862,"(8532, 9436)","(33.5908938388713, 130.3531011990374)","(33.590908132751544, 130.35321295652682)"
-1237.9823125985806,"(8532, 9436)","(33.590908132751544, 130.35321295652682)","(33.5909134118082, 130.3533049629429)"
-1242.1840001524972,"(8532, 9436)","(33.5909134118082, 130.3533049629429)","(33.590934578805076, 130.35345722802256)"
-1302.1736800561214,"(8532, 9565)","(33.590934578805076, 130.35345722802256)","(33.5909546, 130.3536754)"
-1346.867244547706,"(6001, 9565)","(33.5909546, 130.3536754)","(33.5909645, 130.3537726)"
-1395.8717737531256,"(6001, 10474)","(33.5909645, 130.3537726)","(33.5909729, 130.3538272)"
