prob,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"(9555, 10508)","(33.590442268669186, 130.34810880434102)","(33.590442268669186, 130.34810880434102)"
-3.4246798468093465,"(9555, 10508)","(33.590442268669186, 130.34810880434102)","(33.59044778272563, 130.3480046580563)"
-14.951965620011212,"(2203, 9555)","(33.59044778272563, 130.3480046580563)","(33.59054920104917, 130.3478522112277)"
-45.60889423023501,"(2203, 10500)","(33.59054920104917, 130.3478522112277)","(33.590639002269604, 130.34780872826312)"
-51.75237423859083,"(2203, 10500)","(33.590639002269604, 130.34780872826312)","(33.59064444010333, 130.34772632590298)"
-56.56278671464342,"(2203, 10500)","(33.59064444010333, 130.34772632590298)","(33.59065141186644, 130.34762067910282)"
-60.12183068723679,"(2203, 10500)","(33.59065141186644, 130.34762067910282)","(33.59068175960606, 130.34747211111716)"
-63.60881626500921,"(2203, 10500)","(33.59068175960606, 130.34747211111716)","(33.590749963790515, 130.34739673774286)"
-69.10695176501906,"(2203, 10500)","(33.590749963790515, 130.34739673774286)","(33.590812589018824, 130.34724857592605)"
-72.67641586159637,"(2203, 10500)","(33.590812589018824, 130.34724857592605)","(33.59082932314669, 130.34712168825004)"
-86.05938060688237,"(2199, 10500)","(33.59082932314669, 130.34712168825004)","(33.5908462, 130.3469938)"
-111.06877896049716,"(2197, 2199)","(33.5908462, 130.3469938)","(33.590944943956224, 130.34696040462387)"
-237.11538628752606,"(2197, 9680)","(33.590944943956224, 130.34696040462387)","(33.5909678, 130.3469118)"
-257.04435109487736,"(9680, 9681)","(33.5909678, 130.3469118)","(33.591002307320515, 130.34659699593806)"
-260.56913339384283,"(9680, 9681)","(33.591002307320515, 130.34659699593806)","(33.59102127932168, 130.34648398898088)"
-265.6410595600323,"(9680, 9681)","(33.59102127932168, 130.34648398898088)","(33.59103597231758, 130.34635916090147)"
-270.3089033590802,"(9680, 9681)","(33.59103597231758, 130.34635916090147)","(33.59105882777957, 130.34622019470908)"
-273.76273915038223,"(9680, 9681)","(33.59105882777957, 130.34622019470908)","(33.59107611534462, 130.34605935470512)"
-282.18813397466744,"(9680, 9681)","(33.59107611534462, 130.34605935470512)","(33.591091836295575, 130.34591140815522)"
-339.8282633341767,"(9680, 9681)","(33.591091836295575, 130.34591140815522)","(33.5910937, 130.3458931)"
-404.36125444835943,"(9680, 9681)","(33.5910937, 130.3458931)","(33.591199878934304, 130.34590804822548)"
-436.45734303436046,"(9680, 9681)","(33.591199878934304, 130.34590804822548)","(33.59131905193845, 130.34592606535512)"
-453.2361062756346,"(9680, 9681)","(33.59131905193845, 130.34592606535512)","(33.591433903092486, 130.3459480357234)"
-582.2288030443804,"(9680, 9681)","(33.591433903092486, 130.3459480357234)","(33.5914372, 130.345949)"
